Baku;Tidak_Baku
Abjad;Abjat
Advokat;Adpokat
Aktif;Aktip
Al Quran;alquran
Apotek;Apotik
Asas;Azas
Atlet;Atlit
Atmosfer;Atmosfir
Baut;Baud
Berpikir;Berfikir
Besok;Esok
Bus;Bis
Cabai;Cabe
Cendekiawan;Cendikiawan
Cenderamata;Cinderamata
Daftar;Daptar
Definisi;Difinisi
Depot;Depo
Detail;Detil
Diagnosis;Diagnosa
Diesel;Disel
Dipersilakan;Dipersilahkan
Dolar;Dollar
Ekspor;Eksport
Ekstrem;Ekstrim
Ekuivalen;Ekwivalen
Embus;Hembus
Februari;Pebruari
Film;Filem
Fisik;Phisik
Fondasi;Pondasi
Formal;Formil
Foto;Photo
Frekuensi;Frekwensi
Gizi;Gisi
Gladi;Geladi
Hafal;Hapal
Hak;Haq
Hakikat;Hakekat
Hierarki;Hirarki
Hipotesis;Hipotesat
Ijazah;Ijasah
Ikhlas;Ihlas
Imbau;Himbau
Indera;Indra
Insaf;Insyaf
Istri;Isteri
Izin;Ijin
Jadwal;Jadual
Jenazah;Jenasah
Jenderal;Jendral
Justru;Justeru
Kaidah;Kaedah
Karier;Karir
Kategori;Katagori
Komplet;Komplit
Konferensi;Konperensi
Kongres;Konggres
Konkret;Konkrit
Kreatif;Kreative
Kreativitas;Kreatifitas
Kualifikasi;Kwalifikasi
Kualitatif;Kwalitatif
Kuantitatif;Kwantitatif
Kualitas;Kwalitas
Kuitansi;Kwitansi
Kiai;Kyai
Lubang;Lobang
Maaf;Ma’af
Makhluk;Mahluk
Manajemen;Managemen
Manajer;Manager
Mencolok;Menyolok
Menerjemahkan;Menterjemahkan
Mengesampingkan;Menyampingkan
Merek;Merk
Meterai;Meterei
Metode;Metoda
Mesti;Musti
Museum;Musium
Motif;Motip
Motivasi;Motifasi
Nasihat;Nasehat
November;Nopember
Napas;Nafas
Objek;Obyek
Paham;Faham
Paspor;Pasport
Pikir;Fikir
Praktik;Praktek
Provinsi;Propinsi
Risiko;Resiko
Rezeki;Rejeki
Saksama;Seksama
Sekadar;Sekedar
Sekretaris;Sekertaris
Silakan;Silahkan
Sistem;Sistim
Subjek;Subyek
Sutera;Sutra
Syukur;Sukur
Tafsir;Tapsir
Teknik;Tehnik
Teoretis;Teoritis
Terampil;Trampil
Varietas;Varitas
Vila;Villa
Wujud;Ujud
Yudikatif;Judikatip
Zaman;Jaman
Zona;Zone
abjad;abjat
advokat;adpokat
afdal;afdol
akhlak;ahlak
aktif;aktip
aktivitas;aktifitas
ambeien;ambeyen
ambulans;ambulan
amendemen;amandemen
analisis;analisa
andal;handal
amfibi;amphibi
antena;antene
antre;antri
apotek;apotik
asas;azas
astronaut;astronot
ateis;atheis
atlet;atlit
atmosfer;atmosfir
azan;adzan
balans;balan
balsam;balsem
batalion;batalyon
baterai;baterei
berandal;brandal
belum;belom
besok;esok
biosfer;biosfir
blanko;blangko
brankas;brangkas
budek;budeg
bujet;budjet
bus;bis
cabai;cabe
capai;capek
cedera;cidera
cendekiawan;cendikiawan
cendera mata;cinderamata / cenderamata
cengkeram;cengkram
cengkih;cengkeh
cokelat;coklat
daftar;daptar
debitur;debitor
dekret;dekrit
depot;depo
detail;detil
deviasi;defiasi
diagnosis;diagnosa
diskotek;diskotik
distilasi;destilasi
dolar;dollar
drainase;drainage
dramatisasi;dramatisir
durian;duren
efektif;efektip
ekstra;extra
ekstrem;ektrim
ekstremis;ekstrimis
ekstrover;ektstrovert
embus;hembus
esai;esei
faksimile;faksimil
februari;pebruari
fondasi;pondasi
formal;formil
foto;photo
fotokopi;photokopi
fotosintesis;fotosintesa
frasa;frase
frekuensi;frekwensi
gaib;ghaib
geladi;gladi
gizi;giji
griya;gria
gua;goa
gubuk;gubug
gudeg;gudek
hadis;hadist
hafal;hapal
hakikat;hakekat
hektare;hektar
hierarki;hirarki
hipotesis;hipotesa
ijazah;ijasah
ikhlas;ihlas
influenza;influensa
inframerah;infra merah
imbau;himbau
indera;indra
infus;inpus
insaf;insyaf
isap;hisap
intelijen;inteligen
intens;inten
interpretasi;interprestasi
interupsi;intrupsi
islamiah;islamiyah
istigfar;istighfar
istri;isteri
itermeso;intermezo
izin;ijin
jadwal;jadual
jagat;jagad
jemaah;jamaah
jenazah;jenasah
jenderal;jendral
judo;yudo
junior;yunior
justru;justeru
kaidah;kaedah
kanker;kangker
karena;karna
karier;karir
karisma;kharisma
katalisis;katalisa
kedaluwarsa;kadaluwarsa
kedelai;kedelei
kendur;kendor
khotbah;khutbah
klien;client
kloter;keloter
koboi;koboy
komersial;komersil
kompleks;komplek
komplet;komplit
konfirmasi;komfirmasi
konkret;konkrit
konsekuensi;konsekwensi
korsleting;konsleting
kosakata;kosa kata
kreatif;kreatip
kreativitas;kreatifitas
kualitas;kwalitas
kuarsa;kwarsa
kuitansi;kwitansi
kuorum;kworum
lafal;lapal
legalisasi;legalisir
lembap;lembab
lubang;lobang
manajemen;managemen
manajer;manager
mangkuk;mangkok
mantra;mantera
masjid;mesjid
mengonsumsi;mengkonsumsi
mengubah;merubah
menteri;mentri
mencolok;menyolok
metode;metoda
miliar;milyar
motif;motip
musafir;musyafir
naas;nahas
nakhoda;nahkoda
tampak;nampak
napas;nafas
nasihat;nasehat
negatif;negatip
negeri;negri
nomor;nomer
neto;netto
notula;notulen
november;nopember
objek;obyek
objektif;obyektif
omzet;omset
organisasi;organisir
orisinal;orisinil
paham;faham
palem;palm
paradoks;paradok
paramedis;paramedi
pasfoto;pas photo
paspor;pasport
paviliun;pavilion
pedas;pedes
peranti;piranti
permak;vermak
pikir;fikir
produktif;produktip
produktivitas;produktifitas
prototipe;prototif
proyek;projek
provinsi;propinsi
putra;putera
putri;puteri
ransel;rangsel
rapi;rapih
rapor;rapot
rasional;rasionil
respons;respon
resistans;resistan
reumatik;rematik
rezeki;rejeki
risiko;resiko
sah;syah
sahih;syahih
saksama;seksama
sambal;sambel
sanksi;sangsi
saraf;syaraf
saus;saos
sekadar;sekedar
sekretaris;sekertaris
semifinal;semi final
seprai;seprei
sintesis;sintesa
sistem;sistim
sistematis;sistimatis
skala;sekala
standardisasi;standarisasi
subjek;subyek
survei;survey
sutra;sutera
syahid;sahid
syukur;sukur
tafsiran;tapsiran
teknik;tehnik
teknisi;tehnisi
teknologi;tehnologi
teladan;tauladan
telepon;telpon
tenteram;tentram
teoretis;teoritis
terampil;trampil
terima kasih;terimakasih
tesis;thesis
tim;team
tobat;taubat
tradisional;tradisionil
transpor;transport
tripleks;triplek
trofi;tropi
urgen;urgent
urine;urin
ustaz;ustad / ustadz
utang;hutang
varietas;varitas
wali kota;walikota
yudikatif;judikatif
yudisial;judisial
yurisdiksi;jurisdiksi
zaman;jaman
zamzam;zam-zam
zina;jinah
zona;zone
